macro_signature	count	share	examples
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP c:1 h:1	1	0.0016	p007-u009
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 f:1 f:1 j:1	1	0.0016	p007-u002
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP c:1 a:1 n:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0016	p007-u058
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP c:1 h:1	1	0.0016	p003-u118
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0016	p006-u027
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0016	p006-u008
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 MEDIAL_OP d:1 e:1 h:1	1	0.0016	p004-u001
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0016	p003-u013
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP a:1 c:2 e:1 e:1 e:1 h:1	1	0.0016	p007-u065
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP a:1 c:2 e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0016	p007-u054
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	1	0.0016	p007-u059
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 e:1 e:1 e:1 h:1	1	0.0016	p094-u048
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 e:1 c:1 f:1 j:1	1	0.0016	p007-u098
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 e:1 c:1 f:1 MEDIAL_OP c:2 h:1	1	0.0016	p007-u078
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 e:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 j:1	1	0.0016	p007-u085
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 e:1 e:1 e:1 h:1	1	0.0016	p007-u057
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 e:1 e:1 h:1	1	0.0016	p005-u063
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 c:1 f:1 j:1	1	0.0016	p007-u090
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0016	p007-u089
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 n:1 c:2 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0016	p007-u060
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 f:1 e:1 MEDIAL_OP e:1 e:1 h:1 f:1 MEDIAL_OP d:1	1	0.0016	p003-u001
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 MEDIAL_OP e:1 e:1 c:1 f:1 j:1	1	0.0016	p007-u048
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 MEDIAL_OP e:1 e:1 c:1 f:1 j:1 e:1 c:2 h:2 c:1 f:1 MEDIAL_OP c:1 h:1	1	0.0016	p007-u087
a:1 MEDIAL_OP c:1 a:1 n:1 c:2 MEDIAL_OP e:1 e:1 c:1 e:1 MEDIAL_OP d:1	1	0.0016	p007-u001
a:1 MEDIAL_OP c:1 a:1 n:1 e:1 MEDIAL_OP e:1 c:1 e:1 h:1	1	0.0016	p003-u075
a:1 MEDIAL_OP c:1 a:1 n:1 e:1 MEDIAL_OP e:1 e:1 c:1 e:1 f:1 f:1 MEDIAL_OP d:1 c:1 f:1 MEDIAL_OP c:1 h:1	1	0.0016	p007-u066
a:1 MEDIAL_OP c:1 a:1 n:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0016	p003-u113
a:1 MEDIAL_OP c:1 e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0016	p007-u096
a:1 MEDIAL_OP c:1 e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0016	p007-u031
a:1 MEDIAL_OP c:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0016	p007-u063
a:1 MEDIAL_OP c:1 e:1 h:1	1	0.0016	p005-u051
a:1 MEDIAL_OP c:1 e:1 MEDIAL_OP d:1 c:2 MEDIAL_OP e:1 c:1 e:1 c:2 h:2 e:1 f:1 f:1 MEDIAL_OP c:2 h:1	1	0.0016	p007-u055
a:1 MEDIAL_OP c:1 e:1 MEDIAL_OP d:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0016	p007-u099
a:1 MEDIAL_OP c:1 e:1 MEDIAL_OP e:1 e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0016	p007-u012
c:1 a:1 e:1 MEDIAL_OP a:1 c:2 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0016	p094-u018
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	1	0.0016	p003-u146
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0016	p007-u094
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 c:1 f:1 MEDIAL_OP d:1 e:1 MEDIAL_OP d:1 c:1 f:1 j:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0016	p003-u032
