unit_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p003-u064	page-003.jpg	img3-m62	8	64	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	9	1854	1233	123	47
p003-u065	page-003.jpg	img3-m65	8	65	c:1 f:1 i:1 d:1	4	2012	1233	67	50
p003-u066	page-003.jpg	img3-m61	8	66	a:1 e:1 b:1 c:1 a:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	12	2099	1208	189	99
p003-u067	page-003.jpg	img3-m73	9	67	e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	11	664	1481	162	90
p003-u068	page-003.jpg	img3-m67	9	68	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	19	862	1401	282	132
p003-u069	page-003.jpg	img3-m70	9	69	c:1 f:1 j:1 e:1 i:1 d:1	6	1204	1488	96	54
p003-u070	page-003.jpg	img3-m68	9	70	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 e:1 h:1	13	1332	1430	152	132
p003-u071	page-003.jpg	img3-m71	9	71	e:1 h:1 a:1 m:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1	12	1539	1440	192	124
p003-u072	page-003.jpg	img3-m72	9	72	n:1 e:1 g:1 e:1 c:1 n:1 e:1 g:1 e:1 e:1 h:1	11	1775	1476	211	104
p003-u073	page-003.jpg	img3-m69	9	73	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 j:1 e:1 e:1 i:1 d:1	22	1980	1455	392	96
p003-u074	page-003.jpg	img3-m85	10	74	c:1 a:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1 c:1	10	566	1559	180	102
p003-u075	page-003.jpg	img3-m74	10	75	a:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1 c:1 e:1 h:1	11	790	1545	165	114
p003-u076	page-003.jpg	img3-m80	10	76	c:1 a:1 m:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1 l:1 f:1 i:1 d:1	15	995	1539	235	86
p003-u077	page-003.jpg	img3-m81	10	77	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 h:1	12	1263	1636	126	102
p003-u078	page-003.jpg	img3-m78	10	78	c:1 a:1 e:1 b:1 c:1 a:1 e:1 c:1 f:1 j:1	10	1274	1546	186	85
p003-u079	page-003.jpg	img3-m77	10	79	e:1 f:1 a:1 b:1 c:1 a:1 e:1 l:1 f:1 i:1 d:1	11	1516	1540	152	84
p003-u080	page-003.jpg	img3-m79	10	80	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	14	1700	1561	254	70
p003-u081	page-003.jpg	img3-m86	10	81	e:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1	11	1758	1648	146	111
p003-u082	page-003.jpg	img3-m76	10	82	e:1 i:1 d:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	13	1992	1553	177	122
p003-u083	page-003.jpg	img3-m75	10	83	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	9	2212	1581	143	42
p003-u084	page-003.jpg	img3-m89	11	84	n:1 e:1 g:1 e:1 c:1 e:1 h:1	7	565	1677	148	71
p003-u085	page-003.jpg	img3-m84	11	85	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	10	761	1640	182	103
p003-u086	page-003.jpg	img3-m82	11	86	a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	14	993	1638	226	80
