signature	count	atom_count	folios	folio_count	images	example_molecules
a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	1	14	f2r	1	page-005.jpg	p005-m015
a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 h:1	1	10	f47v	1	page-094.jpg	p094-m026
a:1 m:1 c:1 a:1 m:1 c:1 a:1 c:2 g:1 e:1 e:1 e:1 e:1 h:1	1	14	f47v	1	page-094.jpg	p094-m048
a:1 m:1 c:1 e:1 h:1	1	5	f2r	1	page-005.jpg	p005-m051
c:1 a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	1	14	f1v	1	page-004.jpg	p004-m014
c:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1 n:1 e:1 g:1 e:1	1	12	f1v	1	page-004.jpg	p004-m062
c:1 a:1 b:1 c:1 a:1 e:1 e:1 e:1	1	8	f1r	1	page-003.jpg	p003-m175
c:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 i:1 d:1	1	10	f1r	1	page-003.jpg	p003-m036
c:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 j:1	1	9	f1v	1	page-004.jpg	p004-m044
c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1 e:1 g:1 e:1 e:1 e:1 h:1	1	17	f1r	1	page-003.jpg	p003-m136
c:1 a:1 b:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1	1	11	f1r	1	page-003.jpg	p003-m095
c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1 e:1 h:1	1	11	f1r	1	page-003.jpg	p003-m052
c:1 a:1 b:1 c:1 a:1 e:1 h:1	1	7	f1r	1	page-003.jpg	p003-m176
c:1 a:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1 c:1	1	10	f1r	1	page-003.jpg	p003-m073
c:1 a:1 e:1 b:1 c:1 a:1 c:1 f:1 j:1	1	9	f1r	1	page-003.jpg	p003-m145
c:1 a:1 e:1 b:1 c:1 a:1 e:1 c:1 f:1 i:1 d:1 e:1 i:1 d:1 c:1 f:1 j:1 c:1 a:1 m:1 c:1 a:1 e:1 h:1	1	24	f1r	1	page-003.jpg	p003-m031
c:1 a:1 e:1 b:1 c:1 a:1 e:1 c:1 f:1 j:1	1	10	f1r	1	page-003.jpg	p003-m077
c:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1	1	10	f1v	1	page-004.jpg	p004-m081
c:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 f:1 f:1 j:1	1	13	f2r	1	page-005.jpg	p005-m005
c:1 a:1 e:1 b:1 c:1 a:1 e:1 h:1	1	8	f1r	1	page-003.jpg	p003-m126
c:1 a:1 m:1 c:1 a:1 c:1 e:1 f:1 k:1 f:1 i:1 d:1	1	12	f1v	1	page-004.jpg	p004-m038
c:1 a:1 m:1 c:1 a:1 c:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1	1	13	f2r	1	page-005.jpg	p005-m027
c:1 a:1 m:1 c:1 a:1 c:2 g:1 e:1 c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1	1	18	f47v	1	page-094.jpg	p094-m057
c:1 a:1 m:1 c:1 a:1 e:1 f:1 f:1 j:1 e:1 c:2 h:2	1	12	f47v	1	page-094.jpg	p094-m076
c:1 a:1 m:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1 l:1 f:1 i:1 d:1	1	15	f1r	1	page-003.jpg	p003-m075
c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 j:1	1	11	f1r	1	page-003.jpg	p003-m053
c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1	1	11	f47v	1	page-094.jpg	p094-m010
c:1 a:1 m:1 c:2 a:1 e:1 c:1 f:1 j:1	1	9	f47v	1	page-094.jpg	p094-m016
c:1 e:1 a:1 b:1 a:1 c:2 e:1 g:1 e:1 c:1 f:1 j:1	1	12	f47v	1	page-094.jpg	p094-m018
c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	1	9	f1r	1	page-003.jpg	p003-m043
c:1 e:1 c:1 h:2 e:1 h:1	1	6	f47v	1	page-094.jpg	p094-m031
c:1 e:1 g:1 e:1 c:1 f:1 j:1	1	7	f1r	1	page-003.jpg	p003-m180
c:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	1	11	f1r	1	page-003.jpg	p003-m046
c:1 e:1 i:1 d:1 e:1 g:1 e:1 e:1 h:1	1	9	f1r	1	page-003.jpg	p003-m055
c:1 f:1 j:1 a:1 b:1 c:1 a:1 b:1 d:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	1	18	f2r	1	page-005.jpg	p005-m053
c:1 f:1 j:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1	1	14	f1v	1	page-004.jpg	p004-m004
c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 c:2 h:2	1	15	f1r	1	page-003.jpg	p003-m088
c:1 f:1 j:1 e:1 i:1 d:1	1	6	f1r	1	page-003.jpg	p003-m068
c:1 f:1 j:1 e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	1	12	f2r	1	page-005.jpg	p005-m088
c:1 k:1 f:1 i:1 d:1	1	5	f1r	1	page-003.jpg	p003-m090
c:2 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1	1	9	f2r	1	page-005.jpg	p005-m042
c:2 g:1 e:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1	1	12	f47v	1	page-094.jpg	p094-m019
c:2 g:1 e:1 c:1 e:1 e:1 e:1 i:1 d:1	1	9	f1v	1	page-004.jpg	p004-m053
e:1 a:1 b:1 c:1 a:1 b:1 d:1 c:1 a:1 m:1 c:1 a:1 c:1 e:1 h:1	1	15	f1v	1	page-004.jpg	p004-m031
e:1 a:1 b:1 c:1 a:1 b:1 d:1 e:1 f:1 f:1 i:1 d:1	1	12	f1r	1	page-003.jpg	p003-m170
e:1 a:1 b:1 c:1 a:1 b:1 d:1 e:1 h:1	1	9	f2r	1	page-005.jpg	p005-m006
e:1 a:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 f:1 j:1	1	12	f1r	1	page-003.jpg	p003-m061
e:1 a:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	1	14	f1v	1	page-004.jpg	p004-m006
e:1 a:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	1	15	f1r	1	page-003.jpg	p003-m041
e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1 e:1 i:1 d:1 e:1 h:1	1	15	f2r	1	page-005.jpg	p005-m008
e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 c:1 h:2 c:1 e:1 h:1	1	13	f1v	1	page-004.jpg	p004-m016
e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	1	12	f1r	1	page-003.jpg	p003-m011
e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	1	9	f2r	1	page-005.jpg	p005-m045
e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1 e:1 c:1 h:2 e:1 i:1	1	14	f1r	1	page-003.jpg	p003-m133
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 c:1 f:1 j:1	1	11	f1v	1	page-004.jpg	p004-m089
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1	1	11	f1r	1	page-003.jpg	p003-m147
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 j:1 e:1 e:1 i:1 d:1	1	22	f1r	1	page-003.jpg	p003-m072
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 j:1 e:1 i:1 d:1	1	22	f1r	1	page-003.jpg	p003-m086
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 f:1 f:1 j:1	1	15	f1v	1	page-004.jpg	p004-m034
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 f:1 k:1 f:1 i:1 d:1	1	17	f1r	1	page-003.jpg	p003-m048
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 e:1 h:1	1	13	f1r	1	page-003.jpg	p003-m069
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 h:1	1	12	f1r	1	page-003.jpg	p003-m076
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 k:1 f:1 i:1 d:1 e:1 c:1 h:2 e:1 f:1 e:1 g:1 e:1 c:1	1	21	f47v	1	page-094.jpg	p094-m040
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 n:1 e:1 c:1 h:2 e:1 g:1 e:1 e:1 e:1 h:1 e:1 h:1 e:1 e:1 e:1 h:1	1	24	f1r	1	page-003.jpg	p003-m152
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 n:1 e:1 g:1 e:1 c:1 f:1 j:1	1	15	f1r	1	page-003.jpg	p003-m122
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 n:1 e:1 g:1 e:1 e:1 c:1 a:1 m:1 c:1 a:1	1	18	f47v	1	page-094.jpg	p094-m001
e:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1	1	11	f1r	1	page-003.jpg	p003-m080
e:1 a:1 e:1 b:1 c:1 a:1 g:1 c:1	1	8	f2r	1	page-005.jpg	p005-m014
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 e:1 f:1 f:1 i:1 d:1 e:1 h:1	1	16	f1r	1	page-003.jpg	p003-m025
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 e:1 i:1 d:1	1	12	f1r	1	page-003.jpg	p003-m026
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 i:1 d:1	1	12	f2r	1	page-005.jpg	p005-m093
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1	1	11	f1r	1	page-003.jpg	p003-m171
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	1	19	f1r	1	page-003.jpg	p003-m173
