skeleton	optional_index	base_count	expanded_count	total_count	optional_values	folios	example_expansions
n:1 e:1 g:1 e:1 e:1 e:1 h:1	6	2	3	5	e:1:3	f1r,f2r,f47v	n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1
n:1 e:1 g:1 e:1 e:1 e:1 h:1	7	2	3	5	e:1:3	f1r,f2r,f47v	n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1
n:1 e:1 g:1 e:1 e:1 h:1	4	3	2	5	e:1:2	f1r,f1v,f47v	n:1 e:1 g:1 e:1 e:1 e:1 h:1
n:1 e:1 g:1 e:1 e:1 h:1	6	3	2	5	e:1:2	f1r,f1v,f47v	n:1 e:1 g:1 e:1 e:1 e:1 h:1
c:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1	3	3	1	4	e:1:1	f1r,f1v,f2r	c:1 a:1 e:1 b:1 c:1 a:1 c:1 f:1 j:1
e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	1	3	1	4	n:1:1	f1r,f2r,f47v	n:1 e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1
e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1	6	2	1	3	d:1:1	f1r,f1v,f47v	e:1 a:1 m:1 c:1 a:1 d:1 g:1 e:1 e:1 h:1
e:1 f:1 f:1 i:1 d:1	3	3	3	6	k:1:2 l:1:1	f1r,f2r	e:1 f:1 k:1 f:1 i:1 d:1 | e:1 f:1 l:1 f:1 i:1 d:1
e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	10	2	2	4	k:1:2	f1r,f1v	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1
c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	7	1	2	3	k:1:2	f1r,f2r	c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1
e:1 a:1 b:1 c:1 a:1 e:1 h:1	2	2	1	3	h:1:1	f2r,f47v	e:1 h:1 a:1 b:1 c:1 a:1 e:1 h:1
e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 i:1 d:1	3	2	1	3	e:1:1	f1r,f2r	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 i:1 d:1
e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	3	2	1	3	e:1:1	f1r,f2r	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1
e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	7	1	2	3	e:1:2	f1r,f2r	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1
