id	table	status	signature_key	learned_sequence	current_count	current_total	dominant_count	dominant_sequence	sample_image_id	sample_id	updated_at	note
327	particle_order_patterns	ok	a:1+a:1+c:1+c:2+e:1+g:1+m:1	c:2 a:1 m:1 c:1 a:1 g:1 e:1	2	2	2	c:2 a:1 m:1 c:1 a:1 g:1 e:1	5	img5-m35-p1	2026-07-13 11:56:37
328	particle_order_patterns	ok	a:1+a:1+b:1+c:1+d:1+m:1	a:1 m:1 c:1 a:1 b:1 d:1	6	6	6	a:1 m:1 c:1 a:1 b:1 d:1	5	img5-m3-p2	2026-07-13 11:57:35
329	particle_order_patterns	ok	a:1+a:1+b:1+c:1+c:1+e:1+e:1+g:1	e:1 a:1 e:1 b:1 c:1 a:1 g:1 c:1	1	1	1	e:1 a:1 e:1 b:1 c:1 a:1 g:1 c:1	5	img5-m9-p1	2026-07-13 12:00:56
332	particle_order_patterns	ok	a:1+a:1+b:1+c:1+c:1+e:1+g:1	e:1 a:1 b:1 c:1 a:1 g:1 c:1	1	1	1	e:1 a:1 b:1 c:1 a:1 g:1 c:1	6	img6-m33-p2	2026-07-13 14:42:24
334	particle_order_patterns	ok	c:2+f:1+h:1+i:1	f:1 i:1 c:2 h:1	7	7	7	f:1 i:1 c:2 h:1	7	img7-m47-p2	2026-07-14 05:10:48
336	particle_order_patterns	ok	a:1+a:1+b:1+c:2+c:2	a:1 c:2 b:1 c:2 a:1	1	1	1	a:1 c:2 b:1 c:2 a:1	7	img7-m30-p1	2026-07-14 05:19:52
337	particle_order_patterns	ok	a:1+a:1+b:1+c:1+c:2+e:1+e:1+g:1	e:1 a:1 c:2 b:1 c:1 a:1 g:1 e:1	1	1	1	e:1 a:1 c:2 b:1 c:1 a:1 g:1 e:1	7	img7-m1-p1	2026-07-14 07:28:27
338	particle_order_patterns	ok	c:1+f:1+h:1+i:1+l:1	l:1 f:1 i:1 c:1 h:1	1	1	1	l:1 f:1 i:1 c:1 h:1	7	img7-m3-p3	2026-07-14 07:29:10
339	particle_order_patterns	ok	c:1+e:1+h:1+i:1	e:1 i:1 c:1 h:1	3	3	3	e:1 i:1 c:1 h:1	7	img7-m74-p6	2026-07-14 07:29:51
340	particle_order_patterns	ok	a:1+a:1+b:1+c:2+e:1	a:1 e:1 b:1 a:1 c:2	2	2	2	a:1 e:1 b:1 a:1 c:2	7	img7-m92-p2	2026-07-14 07:30:27
