atom_id	image_name	token	predicted_centroid	centroid_correct	predicted_knn	knn_correct	nearest_distance	snapshot_path
3265	page-003.jpg	c:1	c:1	yes	c:1	yes	22.5910	atoms\c_1\page-003.jpg\3265.svg
3284	page-003.jpg	h:2	h:2	yes	h:2	yes	9.8975	atoms\h_2\page-003.jpg\3284.svg
3235	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3235.svg
3277	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3277.svg
3278	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3278.svg
3286	page-003.jpg	i:1	i:1	yes	i:1	yes	13.6408	atoms\i_1\page-003.jpg\3286.svg
3292	page-003.jpg	d:1	d:1	yes	d:1	yes	11.0796	atoms\d_1\page-003.jpg\3292.svg
3687	page-003.jpg	n:1	n:1	yes	n:1	yes	18.8083	atoms\n_1\page-003.jpg\3687.svg
3228	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3228.svg
3251	page-003.jpg	g:1	g:1	yes	g:1	yes	8.5587	atoms\g_1\page-003.jpg\3251.svg
3229	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3229.svg
3262	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3262.svg
3685	page-003.jpg	n:1	n:1	yes	n:1	yes	16.5169	atoms\n_1\page-003.jpg\3685.svg
3247	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3247.svg
3257	page-003.jpg	g:1	g:1	yes	g:1	yes	10.0656	atoms\g_1\page-003.jpg\3257.svg
3248	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3248.svg
3272	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3272.svg
3243	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3243.svg
