representation	folio	molecule_uid	source_molecule_id	sequence_length	symbol_index	observed_symbol	left_symbol	right_symbol	positional_role	local_context	context_seen_in_train	observed_in_train_vocab	probability	log_loss_bits	top1_symbol	top1_correct
ATOMS	f2v	p006-m008	img6-m5	9	4	a:1	c:1	e:1	medial	length=9|role=medial|left=c:1|right=e:1	yes	yes	0.17647058823529413	2.502500340529183	a:1	yes
ATOMS	f2v	p006-m008	img6-m5	9	5	e:1	a:1	g:1	medial	length=9|role=medial|left=a:1|right=g:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m008	img6-m5	9	6	g:1	e:1	e:1	medial	length=9|role=medial|left=e:1|right=e:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m008	img6-m5	9	7	e:1	g:1	e:1	medial	length=9|role=medial|left=g:1|right=e:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m008	img6-m5	9	8	e:1	e:1	h:1	medial	length=9|role=medial|left=e:1|right=h:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m009	img6-m9	9	2	e:1	n:1	g:1	medial	length=9|role=medial|left=n:1|right=g:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m009	img6-m9	9	3	g:1	e:1	e:1	medial	length=9|role=medial|left=e:1|right=e:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m009	img6-m9	9	4	e:1	g:1	c:1	medial	length=9|role=medial|left=g:1|right=c:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m009	img6-m9	9	5	c:1	e:1	n:1	medial	length=9|role=medial|left=e:1|right=n:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m009	img6-m9	9	6	n:1	c:1	e:1	medial	length=9|role=medial|left=c:1|right=e:1	yes	yes	0.058823529411764705	4.087462841250339	a:1	no
ATOMS	f2v	p006-m009	img6-m9	9	7	e:1	n:1	g:1	medial	length=9|role=medial|left=n:1|right=g:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m009	img6-m9	9	8	g:1	e:1	e:1	medial	length=9|role=medial|left=e:1|right=e:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
EVA	f2r	p005-m001	img5-m1	7	2	y	k	d	medial	length=7|role=medial|left=k|right=d	no	yes	0.0625	4	a	no
EVA	f2r	p005-m001	img5-m1	7	3	d	y	a	medial	length=7|role=medial|left=y|right=a	no	yes	0.0625	4	a	no
EVA	f2r	p005-m001	img5-m1	7	4	a	d	i	medial	length=7|role=medial|left=d|right=i	no	yes	0.0625	4	a	yes
EVA	f2r	p005-m001	img5-m1	7	5	i	a	n	medial	length=7|role=medial|left=a|right=n	no	yes	0.0625	4	a	no
EVA	f2r	p005-m001	img5-m1	7	6	n	i	y	medial	length=7|role=medial|left=i|right=y	no	yes	0.0625	4	a	no
EVA	f2r	p005-m002	img5-m3	6	2	p	y	c	medial	length=6|role=medial|left=y|right=c	no	yes	0.0625	4	a	no
EVA	f2r	p005-m002	img5-m3	6	3	c	p	h	medial	length=6|role=medial|left=p|right=h	yes	yes	0.05555555555555555	4.169925001442312	s	no
EVA	f2r	p005-m002	img5-m3	6	4	h	c	o	medial	length=6|role=medial|left=c|right=o	no	yes	0.0625	4	a	no
EVA	f2r	p005-m002	img5-m3	6	5	o	h	l	medial	length=6|role=medial|left=h|right=l	no	yes	0.0625	4	a	no
EVA	f2r	p005-m003	img5-m7	5	2	a	d	i	medial	length=5|role=medial|left=d|right=i	no	yes	0.0625	4	a	yes
EVA	f2r	p005-m003	img5-m7	5	3	i	a	i	medial	length=5|role=medial|left=a|right=i	no	yes	0.0625	4	a	no
EVA	f2r	p005-m003	img5-m7	5	4	i	i	n	medial	length=5|role=medial|left=i|right=n	no	yes	0.0625	4	a	no
EVA	f2r	p005-m004	img5-m5	6	2	t	o	c	medial	length=6|role=medial|left=o|right=c	no	yes	0.0625	4	a	no
EVA	f2r	p005-m004	img5-m5	6	3	c	t	h	medial	length=6|role=medial|left=t|right=h	no	yes	0.0625	4	a	no
EVA	f2r	p005-m004	img5-m5	6	4	h	c	a	medial	length=6|role=medial|left=c|right=a	no	yes	0.0625	4	a	no
EVA	f2r	p005-m004	img5-m5	6	5	a	h	l	medial	length=6|role=medial|left=h|right=l	no	yes	0.0625	4	a	yes
EVA	f2r	p005-m005	img5-m6	8	2	p	y	c	medial	length=8|role=medial|left=y|right=c	no	yes	0.0625	4	a	no
EVA	f2r	p005-m005	img5-m6	8	3	c	p	h	medial	length=8|role=medial|left=p|right=h	no	yes	0.0625	4	a	no
EVA	f2r	p005-m005	img5-m6	8	4	h	c	a	medial	length=8|role=medial|left=c|right=a	yes	yes	0.16666666666666666	2.584962500721156	h	yes
EVA	f2r	p005-m005	img5-m6	8	5	a	h	i	medial	length=8|role=medial|left=h|right=i	no	yes	0.0625	4	a	yes
EVA	f2r	p005-m005	img5-m6	8	6	i	a	i	medial	length=8|role=medial|left=a|right=i	yes	yes	0.16666666666666666	2.584962500721156	i	yes
EVA	f2r	p005-m005	img5-m6	8	7	i	i	n	medial	length=8|role=medial|left=i|right=n	yes	yes	0.16666666666666666	2.584962500721156	i	yes
