subset	model	model_label	representation	scope	train_regions	test_regions	vocabulary_size	evaluated_opportunities	unseen_context_count	unseen_context_rate	normalized_log_loss	top1_accuracy	mean_observed_probability	atoms_minus_eva_normalized_log_loss	atoms_minus_eva_top1_accuracy	atoms_minus_eva_unseen_context_rate	atoms_minus_eva_mean_observed_probability
medium_low_medium	MODEL_1	Neighbors only	EVA	combined	48	18	19	63	17	0.2698412698412698	0.7231037758351613	0.5396825396825397	0.1624710854918307
medium_low_medium	MODEL_1	Neighbors only	ATOMS_MINUS_EVA	combined										-0.30277179655098274	0.1763668430335097	-0.21428571428571427	0.22493073902463273
medium_low_medium	MODEL_2	Neighbors plus coarse position	ATOMS	combined	52	18	16	162	27	0.16666666666666666	0.5472442970015557	0.6234567901234568	0.2949137844089684
medium_low_medium	MODEL_2	Neighbors plus coarse position	EVA	combined	48	18	19	63	26	0.4126984126984127	0.8040478654569809	0.38095238095238093	0.13324079724088705
medium_low_medium	MODEL_2	Neighbors plus coarse position	ATOMS_MINUS_EVA	combined										-0.2568035684554252	0.24250440917107585	-0.24603174603174602	0.16167298716808137
medium_low_medium	MODEL_3	Published V2 exact-length model	ATOMS	combined	52	18	16	162	77	0.47530864197530864	0.8191843171369505	0.3765432098765432	0.13564344606011278
medium_low_medium	MODEL_3	Published V2 exact-length model	EVA	combined	48	18	19	63	43	0.6825396825396826	0.9111020742996654	0.2222222222222222	0.0825996668690359
medium_low_medium	MODEL_3	Published V2 exact-length model	ATOMS_MINUS_EVA	combined										-0.09191775716271489	0.154320987654321	-0.20723104056437391	0.053043779191076876
medium_low_medium	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS	combined	52	18	16	162	47	0.29012345679012347	0.6958970183552099	0.5185185185185185	0.19448770032920362
medium_low_medium	MODEL_4	Neighbors plus coarse position and train-defined length bins	EVA	combined	48	18	19	63	39	0.6190476190476191	0.8909347878489297	0.2857142857142857	0.08733448528152678
medium_low_medium	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS_MINUS_EVA	combined										-0.19503776949371976	0.2328042328042328	-0.3289241622574956	0.10715321504767684
one_to_one	MODEL_0	Unigram baseline	ATOMS	combined	52	18	16	162	0	0	0.8286407905101316	0.25308641975308643	0.13933202724134716
one_to_one	MODEL_0	Unigram baseline	EVA	combined	48	18	19	63	0	0	0.847426700252988	0.12698412698412698	0.10123955353637334
one_to_one	MODEL_0	Unigram baseline	ATOMS_MINUS_EVA	combined										-0.018785909742856433	0.12610229276895946	0	0.03809247370497382
one_to_one	MODEL_1	Neighbors only	ATOMS	combined	52	18	16	162	9	0.05555555555555555	0.42033197928417854	0.7160493827160493	0.38740182451646343
one_to_one	MODEL_1	Neighbors only	EVA	combined	48	18	19	63	17	0.2698412698412698	0.7231037758351613	0.5396825396825397	0.1624710854918307
one_to_one	MODEL_1	Neighbors only	ATOMS_MINUS_EVA	combined										-0.30277179655098274	0.1763668430335097	-0.21428571428571427	0.22493073902463273
one_to_one	MODEL_2	Neighbors plus coarse position	ATOMS	combined	52	18	16	162	27	0.16666666666666666	0.5472442970015557	0.6234567901234568	0.2949137844089684
one_to_one	MODEL_2	Neighbors plus coarse position	EVA	combined	48	18	19	63	26	0.4126984126984127	0.8040478654569809	0.38095238095238093	0.13324079724088705
one_to_one	MODEL_2	Neighbors plus coarse position	ATOMS_MINUS_EVA	combined										-0.2568035684554252	0.24250440917107585	-0.24603174603174602	0.16167298716808137
one_to_one	MODEL_3	Published V2 exact-length model	ATOMS	combined	52	18	16	162	77	0.47530864197530864	0.8191843171369505	0.3765432098765432	0.13564344606011278
one_to_one	MODEL_3	Published V2 exact-length model	EVA	combined	48	18	19	63	43	0.6825396825396826	0.9111020742996654	0.2222222222222222	0.0825996668690359
one_to_one	MODEL_3	Published V2 exact-length model	ATOMS_MINUS_EVA	combined										-0.09191775716271489	0.154320987654321	-0.20723104056437391	0.053043779191076876
one_to_one	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS	combined	52	18	16	162	47	0.29012345679012347	0.6958970183552099	0.5185185185185185	0.19448770032920362
one_to_one	MODEL_4	Neighbors plus coarse position and train-defined length bins	EVA	combined	48	18	19	63	39	0.6190476190476191	0.8909347878489297	0.2857142857142857	0.08733448528152678
one_to_one	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS_MINUS_EVA	combined										-0.19503776949371976	0.2328042328042328	-0.3289241622574956	0.10715321504767684
exclude_unresolved_eva_lines	MODEL_0	Unigram baseline	ATOMS	combined	122	51	16	1114	0	0	0.8289226981137763	0.28545780969479356	0.14080876686204988
exclude_unresolved_eva_lines	MODEL_0	Unigram baseline	EVA	combined	118	51	19	518	0	0	0.8755996686206314	0.15444015444015444	0.08817981460589118
exclude_unresolved_eva_lines	MODEL_0	Unigram baseline	ATOMS_MINUS_EVA	combined										-0.04667697050685515	0.13101765525463913	0	0.0526289522561587
exclude_unresolved_eva_lines	MODEL_1	Neighbors only	ATOMS	combined	122	51	16	1114	13	0.011669658886894075	0.2468519840142945	0.7917414721723519	0.602624425635377
exclude_unresolved_eva_lines	MODEL_1	Neighbors only	EVA	combined	118	51	19	518	15	0.02895752895752896	0.45055746686163684	0.6583011583011583	0.3908501777666229
exclude_unresolved_eva_lines	MODEL_1	Neighbors only	ATOMS_MINUS_EVA	combined										-0.20370548284734233	0.1334403138711936	-0.017287870070634884	0.2117742478687541
exclude_unresolved_eva_lines	MODEL_2	Neighbors plus coarse position	ATOMS	combined	122	51	16	1114	27	0.02423698384201077	0.32131552456349344	0.7917414721723519	0.49636948110717427
exclude_unresolved_eva_lines	MODEL_2	Neighbors plus coarse position	EVA	combined	118	51	19	518	58	0.11196911196911197	0.5775181594313602	0.6158301158301158	0.27074406678469665
exclude_unresolved_eva_lines	MODEL_2	Neighbors plus coarse position	ATOMS_MINUS_EVA	combined										-0.25620263486786676	0.1759113563422361	-0.0877321281271012	0.22562541432247762
exclude_unresolved_eva_lines	MODEL_3	Published V2 exact-length model	ATOMS	combined	122	51	16	1114	643	0.5771992818671454	0.8496654560215118	0.34470377019748655	0.12189549410909895
exclude_unresolved_eva_lines	MODEL_3	Published V2 exact-length model	EVA	combined	118	51	19	518	378	0.7297297297297297	0.9202824036120186	0.19305019305019305	0.07979399129339144
exclude_unresolved_eva_lines	MODEL_3	Published V2 exact-length model	ATOMS_MINUS_EVA	combined										-0.07061694759050685	0.1516535771472935	-0.1525304478625843	0.0421015028157075
exclude_unresolved_eva_lines	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS	combined	122	51	16	1114	89	0.07989228007181329	0.46018255505866484	0.7387791741472173	0.3588369298646238
exclude_unresolved_eva_lines	MODEL_4	Neighbors plus coarse position and train-defined length bins	EVA	combined	118	51	19	518	148	0.2857142857142857	0.7176538603286585	0.5077220077220077	0.17648059035459102
exclude_unresolved_eva_lines	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS_MINUS_EVA	combined										-0.2574713052699937	0.23105716642520957	-0.2058220056424724	0.18235633951003277
