unit_id	image_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_ids	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p004-u047	4	page-004.jpg	img4-m51	6	47	e:1 g:1 e:1 c:1 e:1 c:1 h:2 c:1	5031 5166 5030 4833 5029 4832 5312 4831	8	1845	2461	153	48
p004-u048	4	page-004.jpg	img4-m53	6	48	f:1 j:1 c:1 f:1 j:1	5368 5423 4830 5367 5422	5	2031	2489	98	41
p004-u049	4	page-004.jpg	img4-m55	6	49	e:1 g:1 e:1 e:1 h:1	5028 5165 5027 5026 5281	5	2181	2502	93	52
p004-u050	4	page-004.jpg	img4-m46	6	50	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	5024 4695 5025 4744 4829 4694 5164 5023 5022 5280	10	2312	2455	150	86
p004-u051	4	page-004.jpg	img4-m49	7	51	a:1 m:1 c:1	4702 5463 4843	3	557	2476	53	51
p004-u052	4	page-004.jpg	img4-m50	7	52	c:1 f:1 j:1	4844 5375 5431	3	659	2482	48	34
p004-u053	4	page-004.jpg	img4-m54	7	53	e:1 g:1 e:1 c:1 e:1 e:1 e:1 i:1 d:1	8271 5172 5048 4845 5049 5050 5051 5222 5247	9	733	2477	156	51
p004-u054	4	page-004.jpg	img4-m56	7	54	e:1 g:1 e:1 e:1 c:1 f:1 j:1	5052 5174 5053 5054 4846 5376 5430	7	939	2505	153	34
p004-u055	4	page-004.jpg	img4-m52	7	55	e:1 c:1 h:2 c:1 f:1 j:1	5055 4847 5314 4848 5377 5429	6	1128	2489	90	51
p004-u056	4	page-004.jpg	img4-m48	7	56	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	5056 4849 5466 4851 4850 5175 5057 5058 5059 5284	10	1260	2475	141	69
p004-u057	4	page-004.jpg	img4-m59	7	57	e:1 h:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1	5060 5286 4747 4752 4852 4748 4854 5378 5428	9	1533	2494	137	83
p004-u058	4	page-004.jpg	img4-m57	7	58	e:1 c:1 h:2 c:1 f:1 j:1	5061 4856 5315 4857 5379 5427	6	1713	2525	90	57
p004-u059	4	page-004.jpg	img4-m58	7	59	e:1 c:1 h:2 c:1 f:1 j:1 c:1	5062 4858 5316 4859 5380 5426 4860	7	1844	2532	110	48
p004-u060	4	page-004.jpg	img4-m64	7	60	e:1 h:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1	5063 5287 5424 5425 4853 4750 4861 5381 5472	9	2000	2524	136	74
p004-u061	4	page-004.jpg	img4-m63	7	61	e:1 c:1 h:2 c:1 f:1 j:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	5064 4863 5317 4862 5382 5473 5065 5176 5066 4864 5067 4865 5318 5068 5288	15	2174	2555	287	52
p004-u062	4	page-004.jpg	img4-m65	8	62	c:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1 n:1 e:1 g:1 e:1	4895 4703 4760 4896 4704 4894 5391 5432 5464 5090 5183 5089	12	566	2514	193	92
p004-u063	4	page-004.jpg	img4-m66	8	63	c:1 f:1 j:1	4893 5390 5433	3	765	2575	53	40
p004-u064	4	page-004.jpg	img4-m60	8	64	a:1 b:1 c:1 a:1 c:1 f:1 j:1	4705 4758 4891 4706 4892 5389 5435	7	876	2540	98	86
p004-u065	4	page-004.jpg	img4-m61	8	65	a:1 b:1 c:1 a:1 e:1 e:1 g:1 e:1 e:1 h:1	4707 4757 4890 4708 5088 5087 5182 5086 5085 5291	10	1004	2543	158	84
p004-u066	4	page-004.jpg	img4-m68	8	66	e:1 g:1 e:1 c:1 f:1 j:1	5084 5181 5083 4889 5388 5436	6	1202	2591	112	34
p004-u067	4	page-004.jpg	img4-m62	8	67	a:1 b:1 c:1 a:1 e:1 h:1	4709 4761 4888 4710 5082 5290	6	1348	2546	63	96
p004-u068	4	page-004.jpg	img4-m69	8	68	e:1 g:1 e:1 c:1 f:1 j:1	5081 5180 5080 4866 5387 5437	6	1536	2612	120	34
p004-u069	4	page-004.jpg	img4-m67	8	69	e:1 a:1 m:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1	5079 4711 5489 4868 4712 5179 5078 4867 5386 5438	10	1709	2584	160	74
