unit_id	image_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_ids	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p005-u056	5	page-005.jpg	img5-m50	8	56	n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1	6493 5848 6433 5849 5850 5851 5852 5923	8	1941	2439	123	78
p005-u057	5	page-005.jpg	img5-m49	8	57	e:1 c:1 h:2 e:1 f:1 k:1 f:1 j:1 e:1 c:1 h:2 e:1 h:1	5853 6020 6091 5854 6162 6233 6163 6468 5855 6021 6092 5856 5924	13	2108	2433	209	60
p005-u058	5	page-005.jpg	img5-m58	8	58	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 c:1 f:1 j:1	5858 6023 6093 5857 6166 6234 6165 6292 6352 6022 6164 6469	12	2143	2503	190	58
p005-u059	5	page-005.jpg	img5-m61	9	59	e:1 c:1 h:2 f:1 j:1 e:1 i:1 d:1 n:1 e:1 g:1 e:1 c:1	5759 6037 6096 6171 6472 5790 6296 6355 6495 5789 6436 5788 6036	13	472	2546	176	57
p005-u060	5	page-005.jpg	img5-m59	9	60	a:1 b:1 c:1 a:1 c:1 f:1 j:1	5962 5995 6035 5961 6034 6170 6471	7	685	2531	85	83
p005-u061	5	page-005.jpg	img5-m66	9	61	n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1	6494 5787 6435 5786 5785 5784 5783 5930	8	814	2544	132	97
p005-u062	5	page-005.jpg	img5-m75	9	62	n:1 e:1 g:1 e:1	6497 5794 6438 5795	4	953	2627	53	45
p005-u063	5	page-005.jpg	img5-m65	9	63	a:1 m:1 c:1 a:1 b:1 c:1 a:1 e:1 e:1 h:1	5960 6393 6033 5958 5994 6031 5959 5782 5781 5929	10	994	2548	159	95
p005-u064	5	page-005.jpg	img5-m67	9	64	e:1 h:1 a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	5780 5928 5956 5993 6030 5957 6029 5779 6028 6095 5778 5927	12	1221	2543	159	93
p005-u065	5	page-005.jpg	img5-m63	9	65	e:1 i:1 d:1 c:1	5777 6295 6354 6027	4	1414	2565	47	45
p005-u066	5	page-005.jpg	img5-m64	9	66	e:1 g:1 e:1 c:1 f:1 j:1	5864 6434 5863 6026 6169 6470	6	1683	2558	110	34
p005-u067	5	page-005.jpg	img5-m62	9	67	e:1 h:1 a:1 b:1 c:1 a:1 e:1 h:1	5862 5926 5954 5992 6025 5955 5861 5925	8	1826	2526	106	87
p005-u068	5	page-005.jpg	img5-m60	9	68	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	5860 6024 6094 5859 6168 6294 6167 6293 6353	9	1982	2531	122	41
p005-u069	5	page-005.jpg	img5-m71	9	69	e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	5872 6441 6442 5873 6179 6237 6180 6358 6360	9	2035	2607	159	42
