molecule_uid	folio	image_name	source_molecule_id	row_index	unit_index	line_position	signature	atom_count	atom_ids	particle_count	particles	particle_ids	eva_line	eva_token_index	eva_token	bounds_x	bounds_y	bounds_w	bounds_h
p006-m025	f2v	page-006.jpg	img6-m25	4	25	4.25	e:1 g:1 e:1 e:1 c:1 f:1 i:1 d:1	8	6870 6985 6869 6868 6611 6719 6734 6768	4	e:1 g:1 e:1 | e:1 | c:1 | f:1 i:1 d:1	img6-m25-p1 img6-m25-p2 img6-m25-p3 img6-m25-p4				1061	914	148	48
p006-m026	f2v	page-006.jpg	img6-m26	4	26	4.26	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	13	6867 6984 6866 6610 6865 6609 7018 6864 6718 6662 6716 6733 6767	5	e:1 g:1 e:1 | c:1 | e:1 c:1 h:2 | e:1 f:1 | k:1 f:1 i:1 d:1	img6-m26-p1 img6-m26-p2 img6-m26-p3 img6-m26-p4 img6-m26-p5				1267	912	242	55
p006-m027	f2v	page-006.jpg	img6-m27	5	27	5.27	a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1	11	6538 6566 6615 6539 6875 6988 6876 6616 6696 6735 6769	4	a:1 b:1 c:1 a:1 | e:1 g:1 e:1 | c:1 | f:1 i:1 d:1	img6-m27-p1 img6-m27-p2 img6-m27-p3 img6-m27-p4				645	2123	169	138
p006-m028	f2v	page-006.jpg	img6-m30	5	28	5.28	n:1 e:1 g:1 e:1 e:1 h:1	6	7032 6877 6989 6878 6879 7050	3	n:1 | e:1 g:1 e:1 | e:1 h:1	img6-m30-p1 img6-m30-p2 img6-m30-p3				856	2211	90	89
p006-m029	f2v	page-006.jpg	img6-m28	5	29	5.29	e:1 c:1 h:2 e:1 l:1 f:1 k:1 f:1 i:1 d:1	10	6880 6617 7019 6881 6765 6764 6663 6693 6736 6770	3	e:1 c:1 h:2 | e:1 l:1 f:1 | k:1 f:1 i:1 d:1	img6-m28-p1 img6-m28-p2 img6-m28-p3				998	2229	167	49
p006-m030	f2v	page-006.jpg	img6-m33	5	30	5.30	e:1 g:1 e:1 e:1 a:1 b:1 c:1 a:1 g:1 c:1 e:1 h:1	12	6882 6990 6883 6884 6540 6567 6618 6541 6991 6619 6885 7051	3	e:1 g:1 e:1 | e:1 a:1 b:1 c:1 a:1 g:1 c:1 | e:1 h:1	img6-m33-p1 img6-m33-p2 img6-m33-p3				1207	2225	178	91
p006-m031	f2v	page-006.jpg	img6-m31	5	31	5.31	e:1 i:1 d:1 n:1 e:1 g:1 e:1	7	6886 6737 6771 7033 6887 6992 6888	3	e:1 i:1 d:1 | n:1 | e:1 g:1 e:1	img6-m31-p1 img6-m31-p2 img6-m31-p3				1806	2251	114	53
p006-m032	f2v	page-006.jpg	img6-m35	5	32	5.32	e:1 e:1 h:1	3	6889 6890 7052	2	e:1 | e:1 h:1	img6-m35-p1 img6-m35-p2				1935	2279	45	50
p006-m033	f2v	page-006.jpg	img6-m32	5	33	5.33	e:1 c:1 h:2 c:1 f:1 i:1 d:1	7	6891 6620 7020 6621 6692 6738 6772	3	e:1 c:1 h:2 | c:1 | f:1 i:1 d:1	img6-m32-p1 img6-m32-p2 img6-m32-p3				2039	2249	87	50
p006-m034	f2v	page-006.jpg	img6-m34	5	34	5.34	e:1 g:1 e:1 c:1 f:1 j:1	6	6892 6993 6893 6622 6691 7063	3	e:1 g:1 e:1 | c:1 | f:1 j:1	img6-m34-p1 img6-m34-p2 img6-m34-p3				2148	2263	103	34
