subset	representation	folio	line	region_id	relation_type	alignment_confidence	sequence_length	predicted_opportunities	corruptions	real_code_length_bits	median_corrupted_code_length_bits	mean_corrupted_code_length_bits	real_minus_median_corrupted_bits	real_minus_mean_corrupted_bits	real_better_than_median	real_better_than_all_corruptions	corrupted_better_count
all	EVA	f2r	2	f2r-l2-r003	N:M	low	7	5	100	21.239637567217926	21.239637567217926	21.25696435633811	0	-0.01732678912018315	no	no	0
all	EVA	f2r	3	f2r-l3-r001	1:1	low-medium	7	5	100	18.358492384445963	21.3840274765531	21.090137361902485	-3.0255350921071376	-2.731644977456522	yes	no	0
all	EVA	f2r	3	f2r-l3-r002	N:1	low	5	3	100	10.476746203939467	12.743782540330756	12.423134483399037	-2.267036336391289	-1.9463882794595708	yes	no	0
all	EVA	f2r	3	f2r-l3-r003	1:N	low	3	1	100	2.807354922057604	2.807354922057604	2.807354922057605	0	-8.881784197001252e-16	no	no	0
all	EVA	f2r	3	f2r-l3-r004	1:1	low-medium	3	1	100	4.247927513443585	4.247927513443585	4.247927513443585	0	0	no	no	0
all	EVA	f2r	3	f2r-l3-r005	1:1	low-medium	6	4	100	17.136099963109515	16.99171005377434	16.755575902857803	0.1443899093351746	0.38052406025171237	no	no	64
all	EVA	f2r	4	f2r-l4-r001	1:N	low	7	5	100	18.358492384445963	21.3840274765531	21.260151539701752	-3.0255350921071376	-2.901659155255789	yes	no	0
all	EVA	f2r	4	f2r-l4-r002	N:M	low	19	17	100	67.5761087121654	72.35915763787612	72.32153005278562	-4.78304892571073	-4.745421340620226	yes	yes	0
all	EVA	f2r	5	f2r-l5-r001	N:M	low	9	7	100	28.294920002719117	29.87988250344027	29.7026467379013	-1.5849625007211543	-1.4077267351821838	yes	no	1
all	EVA	f2r	5	f2r-l5-r002	N:M	low	15	13	100	41.84539265000065	55.64308202671521	55.17611297930849	-13.797689376714565	-13.330720329307844	yes	yes	0
all	EVA	f2r	5	f2r-l5-r003	N:M	low	11	9	100	30.527349946767373	38.77166620665858	38.008273286723444	-8.244316259891207	-7.480923339956071	yes	no	2
all	EVA	f2r	6	f2r-l6-r001	N:M	low	10	8	100	23.763409844004357	32.89724960147218	32.4868274427641	-9.133839757467825	-8.723417598759745	yes	yes	0
all	EVA	f2r	6	f2r-l6-r002	N:M	low	7	5	100	19.94345488516712	21.239637567217926	20.89708732864889	-1.2961826820508051	-0.9536324434817693	yes	no	7
all	EVA	f2r	6	f2r-l6-r003	N:M	low	19	17	100	72.21476772854095	72.21476772854095	72.268191994995	0	-0.0534242664540443	no	no	0
all	EVA	f2r	7	f2r-l7-r001	N:M	low	14	12	100	44.4214220259518	51.250764603936446	51.0487368550961	-6.829342577984647	-6.627314829144304	yes	yes	0
all	EVA	f2r	7	f2r-l7-r002	N:1	low	7	5	100	16.917919793059983	21.3840274765531	21.032481193227387	-4.466107683493117	-4.114561400167403	yes	no	0
all	EVA	f2r	8	f2r-l8-r001	1:1	low-medium	6	4	100	15.55113746238836	16.99171005377434	16.968707463339683	-1.4405725913859815	-1.417570000951324	yes	no	0
