entity_type	entity_id	image_id	image_name	token	signature	atom_count	bounds_x	bounds_y	bounds_w	bounds_h	svg_path
atom	1864	3	page-003.jpg	c:1	c:1	1	1924	956	70	59	atoms\c_1\page-003.jpg\1864.svg
atom	1866	3	page-003.jpg	a:1	a:1	1	1924	978	33	63	atoms\a_1\page-003.jpg\1866.svg
atom	1863	3	page-003.jpg	b:1	b:1	1	1860	971	118	45	atoms\b_1\page-003.jpg\1863.svg
atom	1869	3	page-003.jpg	d:1	d:1	1	1809	1001	93	43	atoms\d_1\page-003.jpg\1869.svg
atom	1860	3	page-003.jpg	g:1	g:1	1	1832	1068	103	33	atoms\g_1\page-003.jpg\1860.svg
atom	1857	3	page-003.jpg	e:1	e:1	1	1891	1068	47	52	atoms\e_1\page-003.jpg\1857.svg
atom	1871	3	page-003.jpg	c:1	c:1	1	1920	1070	54	50	atoms\c_1\page-003.jpg\1871.svg
atom	1858	3	page-003.jpg	e:1	e:1	1	1958	1071	47	52	atoms\e_1\page-003.jpg\1858.svg
atom	1872	3	page-003.jpg	f:1	f:1	1	1970	1071	45	53	atoms\f_1\page-003.jpg\1872.svg
atom	1873	3	page-003.jpg	k:1	k:1	1	1992	1074	81	56	atoms\k_1\page-003.jpg\1873.svg
atom	1874	3	page-003.jpg	f:1	f:1	1	2041	1078	43	55	atoms\f_1\page-003.jpg\1874.svg
atom	1875	3	page-003.jpg	i:1	i:1	1	2044	1039	49	94	atoms\i_1\page-003.jpg\1875.svg
atom	1876	3	page-003.jpg	d:1	d:1	1	1994	1032	84	40	atoms\d_1\page-003.jpg\1876.svg
atom	1813	3	page-003.jpg	e:1	e:1	1	1210	1069	52	50	atoms\e_1\page-003.jpg\1813.svg
atom	1819	3	page-003.jpg	a:1	a:1	1	1263	999	35	110	atoms\a_1\page-003.jpg\1819.svg
atom	3039	3	page-003.jpg	m:1	m:1	1	1238	963	84	68	atoms\m_1\page-003.jpg\3039.svg
atom	1821	3	page-003.jpg	c:1	c:1	1	1287	958	60	56	atoms\c_1\page-003.jpg\1821.svg
atom	1828	3	page-003.jpg	a:1	a:1	1	1287	972	36	73	atoms\a_1\page-003.jpg\1828.svg
atom	1826	3	page-003.jpg	b:1	b:1	1	1256	1013	67	40	atoms\b_1\page-003.jpg\1826.svg
atom	5494	3	page-003.jpg	d:1	d:1	1	1197	1013	111	56	atoms\d_1\page-003.jpg\5494.svg
atom	1818	3	page-003.jpg	g:1	g:1	1	1227	1065	122	36	atoms\g_1\page-003.jpg\1818.svg
atom	1814	3	page-003.jpg	e:1	e:1	1	1296	1065	53	53	atoms\e_1\page-003.jpg\1814.svg
atom	1816	3	page-003.jpg	c:1	c:1	1	1327	1065	52	52	atoms\c_1\page-003.jpg\1816.svg
atom	1833	3	page-003.jpg	e:1	e:1	1	1364	1068	49	54	atoms\e_1\page-003.jpg\1833.svg
atom	1832	3	page-003.jpg	h:1	h:1	1	1370	1069	51	86	atoms\h_1\page-003.jpg\1832.svg
atom	1834	3	page-003.jpg	c:1	c:1	1	1440	1063	52	52	atoms\c_1\page-003.jpg\1834.svg
atom	1835	3	page-003.jpg	e:1	e:1	1	1471	1061	47	52	atoms\e_1\page-003.jpg\1835.svg
atom	4649	3	page-003.jpg	h:1	h:1	1	1474	1061	51	82	atoms\h_1\page-003.jpg\4649.svg
