image_name	ordinal	status	eva_page	eva_paragraph	eva_line	eva_token_count	physical_row	physical_unit_count	physical_y_min	physical_y_max	physical_first_unit	physical_last_unit	note
page-004.jpg	5	paired-by-ordinal	f1v	1	5	9	5	9	2190	2465	p004-u031	p004-u039	ordinal pair only; not visual proof of exact alignment
page-004.jpg	6	paired-by-ordinal	f1v	1	6	10	6	11	2369	2554	p004-u040	p004-u050	ordinal pair only; not visual proof of exact alignment
page-004.jpg	7	paired-by-ordinal	f1v	1	7	12	7	11	2475	2607	p004-u051	p004-u061	ordinal pair only; not visual proof of exact alignment
page-004.jpg	8	paired-by-ordinal	f1v	1	8	11	8	11	2514	2677	p004-u062	p004-u072	ordinal pair only; not visual proof of exact alignment
page-004.jpg	9	paired-by-ordinal	f1v	1	9	11	9	11	2610	2761	p004-u073	p004-u083	ordinal pair only; not visual proof of exact alignment
page-004.jpg	10	paired-by-ordinal	f1v	1	10	7	10	7	2685	2833	p004-u084	p004-u090	ordinal pair only; not visual proof of exact alignment
page-005.jpg	1	paired-by-ordinal	f2r	1	1	6	1	8	444	587	p005-u001	p005-u008	ordinal pair only; not visual proof of exact alignment
page-005.jpg	2	paired-by-ordinal	f2r	1	2	6	2	6	563	669	p005-u009	p005-u014	ordinal pair only; not visual proof of exact alignment
page-005.jpg	3	paired-by-ordinal	f2r	1	3	7	3	6	640	757	p005-u015	p005-u020	ordinal pair only; not visual proof of exact alignment
page-005.jpg	4	paired-by-ordinal	f2r	1	4	7	4	6	709	820	p005-u021	p005-u026	ordinal pair only; not visual proof of exact alignment
page-005.jpg	5	paired-by-ordinal	f2r	1	5	7	5	8	801	894	p005-u027	p005-u034	ordinal pair only; not visual proof of exact alignment
page-005.jpg	6	paired-by-ordinal	f2r	1	6	8	6	8	871	976	p005-u035	p005-u042	ordinal pair only; not visual proof of exact alignment
page-005.jpg	7	paired-by-ordinal	f2r	1	7	5	7	5	942	1052	p005-u043	p005-u047	ordinal pair only; not visual proof of exact alignment
page-005.jpg	8	paired-by-ordinal	f2r	1	8	9	8	11	2389	2561	p005-u048	p005-u058	ordinal pair only; not visual proof of exact alignment
page-005.jpg	9	paired-by-ordinal	f2r	1	9	10	9	12	2526	2672	p005-u059	p005-u070	ordinal pair only; not visual proof of exact alignment
page-005.jpg	10	paired-by-ordinal	f2r	1	10	9	10	10	2601	2730	p005-u071	p005-u080	ordinal pair only; not visual proof of exact alignment
page-005.jpg	11	paired-by-ordinal	f2r	1	11	9	11	9	2694	2783	p005-u081	p005-u089	ordinal pair only; not visual proof of exact alignment
page-005.jpg	12	paired-by-ordinal	f2r	1	12	11	12	10	2736	2880	p005-u090	p005-u099	ordinal pair only; not visual proof of exact alignment
page-005.jpg	13	paired-by-ordinal	f2r	1	13	5	13	5	2856	2962	p005-u100	p005-u104	ordinal pair only; not visual proof of exact alignment
page-094.jpg	1	paired-by-ordinal	f47v	1	1	6	1	7	392	686	p094-u001	p094-u007	ordinal pair only; not visual proof of exact alignment
page-094.jpg	2	paired-by-ordinal	f47v	1	2	7	2	6	592	727	p094-u008	p094-u013	ordinal pair only; not visual proof of exact alignment
page-094.jpg	3	paired-by-ordinal	f47v	1	3	7	3	7	680	806	p094-u014	p094-u020	ordinal pair only; not visual proof of exact alignment
page-094.jpg	4	paired-by-ordinal	f47v	1	4	7	4	7	760	901	p094-u021	p094-u027	ordinal pair only; not visual proof of exact alignment
page-094.jpg	5	paired-by-ordinal	f47v	1	5	7	5	7	858	993	p094-u028	p094-u034	ordinal pair only; not visual proof of exact alignment
page-094.jpg	6	paired-by-ordinal	f47v	1	6	5	6	5	948	1044	p094-u035	p094-u039	ordinal pair only; not visual proof of exact alignment
page-094.jpg	7	paired-by-ordinal	f47v	1	7	3	7	3	2383	2513	p094-u040	p094-u042	ordinal pair only; not visual proof of exact alignment
page-094.jpg	8	paired-by-ordinal	f47v	1	8	4	8	5	2510	2599	p094-u043	p094-u047	ordinal pair only; not visual proof of exact alignment
page-094.jpg	9	paired-by-ordinal	f47v	1	9	5	9	8	2576	2722	p094-u048	p094-u055	ordinal pair only; not visual proof of exact alignment
page-094.jpg	10	paired-by-ordinal	f47v	1	10	9	10	6	2652	2803	p094-u056	p094-u061	ordinal pair only; not visual proof of exact alignment
page-094.jpg	11	paired-by-ordinal	f47v	1	11	9	11	8	2728	2883	p094-u062	p094-u069	ordinal pair only; not visual proof of exact alignment
page-094.jpg	12	paired-by-ordinal	f47v	1	12	8	12	7	2812	2949	p094-u070	p094-u076	ordinal pair only; not visual proof of exact alignment
page-094.jpg	13	paired-by-ordinal	f47v	1	13	6	13	5	2890	3059	p094-u077	p094-u081	ordinal pair only; not visual proof of exact alignment
page-094.jpg	14	paired-by-ordinal	f47v	1	14	2	14	2	3024	3136	p094-u082	p094-u083	ordinal pair only; not visual proof of exact alignment
